"","month","agebin","densitybin","fraction_infected_bin","count","num_in_group","freq_frac_infect","site"
"202",9,15,0.5,50,0,0,NA,"dapelogo_2007"
"203",9,15,0.5,80,0,0,NA,"dapelogo_2007"
"204",9,15,0.5,100,0,0,NA,"dapelogo_2007"
"205",9,15,5,0,2,2,1,"dapelogo_2007"
"206",9,15,5,5,0,2,0,"dapelogo_2007"
"207",9,15,5,20,0,2,0,"dapelogo_2007"
"208",9,15,5,50,0,2,0,"dapelogo_2007"
"209",9,15,5,80,0,2,0,"dapelogo_2007"
"210",9,15,5,100,0,2,0,"dapelogo_2007"
"211",9,15,50,0,0,4,0,"dapelogo_2007"
"212",9,15,50,5,0,4,0,"dapelogo_2007"
"213",9,15,50,20,1,4,0.25,"dapelogo_2007"
"214",9,15,50,50,0,4,0,"dapelogo_2007"
"215",9,15,50,80,2,4,0.5,"dapelogo_2007"
"216",9,15,50,100,1,4,0.25,"dapelogo_2007"
"217",9,15,500,0,0,0,NA,"dapelogo_2007"
"218",9,15,500,5,0,0,NA,"dapelogo_2007"
"219",9,15,500,20,0,0,NA,"dapelogo_2007"
"220",9,15,500,50,0,0,NA,"dapelogo_2007"
"221",9,15,500,80,0,0,NA,"dapelogo_2007"
"222",9,15,500,100,0,0,NA,"dapelogo_2007"
"223",9,15,5000,0,1,3,0.333333333333333,"dapelogo_2007"
"224",9,15,5000,5,0,3,0,"dapelogo_2007"
"225",9,15,5000,20,0,3,0,"dapelogo_2007"
"226",9,15,5000,50,0,3,0,"dapelogo_2007"
"227",9,15,5000,80,1,3,0.333333333333333,"dapelogo_2007"
"228",9,15,5000,100,1,3,0.333333333333333,"dapelogo_2007"
"229",9,15,50000,0,0,0,NA,"dapelogo_2007"
"230",9,15,50000,5,0,0,NA,"dapelogo_2007"
"231",9,15,50000,20,0,0,NA,"dapelogo_2007"
"232",9,15,50000,50,0,0,NA,"dapelogo_2007"
"233",9,15,50000,80,0,0,NA,"dapelogo_2007"
"234",9,15,50000,100,0,0,NA,"dapelogo_2007"
"235",9,15,5e+05,0,0,0,NA,"dapelogo_2007"
"236",9,15,5e+05,5,0,0,NA,"dapelogo_2007"
"237",9,15,5e+05,20,0,0,NA,"dapelogo_2007"
"238",9,15,5e+05,50,0,0,NA,"dapelogo_2007"
"239",9,15,5e+05,80,0,0,NA,"dapelogo_2007"
"240",9,15,5e+05,100,0,0,NA,"dapelogo_2007"
"241",9,80,0,0,13,14,0.928571428571429,"dapelogo_2007"
"242",9,80,0,5,1,14,0.0714285714285714,"dapelogo_2007"
"243",9,80,0,20,0,14,0,"dapelogo_2007"
"244",9,80,0,50,0,14,0,"dapelogo_2007"
"245",9,80,0,80,0,14,0,"dapelogo_2007"
"246",9,80,0,100,0,14,0,"dapelogo_2007"
"247",9,80,0.5,0,4,5,0.8,"dapelogo_2007"
"248",9,80,0.5,5,0,5,0,"dapelogo_2007"
"249",9,80,0.5,20,1,5,0.2,"dapelogo_2007"
"250",9,80,0.5,50,0,5,0,"dapelogo_2007"
"251",9,80,0.5,80,0,5,0,"dapelogo_2007"
"252",9,80,0.5,100,0,5,0,"dapelogo_2007"
"253",9,80,5,0,1,1,1,"dapelogo_2007"
"254",9,80,5,5,0,1,0,"dapelogo_2007"
"255",9,80,5,20,0,1,0,"dapelogo_2007"
"256",9,80,5,50,0,1,0,"dapelogo_2007"
"257",9,80,5,80,0,1,0,"dapelogo_2007"
"258",9,80,5,100,0,1,0,"dapelogo_2007"
"259",9,80,50,0,0,1,0,"dapelogo_2007"
"260",9,80,50,5,0,1,0,"dapelogo_2007"
"261",9,80,50,20,0,1,0,"dapelogo_2007"
"262",9,80,50,50,0,1,0,"dapelogo_2007"
"263",9,80,50,80,1,1,1,"dapelogo_2007"
"264",9,80,50,100,0,1,0,"dapelogo_2007"
"265",9,80,500,0,1,2,0.5,"dapelogo_2007"
"266",9,80,500,5,0,2,0,"dapelogo_2007"
"267",9,80,500,20,1,2,0.5,"dapelogo_2007"
"268",9,80,500,50,0,2,0,"dapelogo_2007"
"269",9,80,500,80,0,2,0,"dapelogo_2007"
"270",9,80,500,100,0,2,0,"dapelogo_2007"
"271",9,80,5000,0,1,2,0.5,"dapelogo_2007"
"272",9,80,5000,5,0,2,0,"dapelogo_2007"
"273",9,80,5000,20,0,2,0,"dapelogo_2007"
"274",9,80,5000,50,1,2,0.5,"dapelogo_2007"
"275",9,80,5000,80,0,2,0,"dapelogo_2007"
"276",9,80,5000,100,0,2,0,"dapelogo_2007"
"277",9,80,50000,0,0,0,NA,"dapelogo_2007"
"278",9,80,50000,5,0,0,NA,"dapelogo_2007"
"279",9,80,50000,20,0,0,NA,"dapelogo_2007"
"280",9,80,50000,50,0,0,NA,"dapelogo_2007"
"281",9,80,50000,80,0,0,NA,"dapelogo_2007"
"282",9,80,50000,100,0,0,NA,"dapelogo_2007"
"283",9,80,5e+05,0,0,0,NA,"dapelogo_2007"
"284",9,80,5e+05,5,0,0,NA,"dapelogo_2007"
"285",9,80,5e+05,20,0,0,NA,"dapelogo_2007"
"286",9,80,5e+05,50,0,0,NA,"dapelogo_2007"
"287",9,80,5e+05,80,0,0,NA,"dapelogo_2007"
"288",9,80,5e+05,100,0,0,NA,"dapelogo_2007"
"289",1,5,0,0,2,2,1,"dapelogo_2007"
"290",1,5,0,5,0,2,0,"dapelogo_2007"
"291",1,5,0,20,0,2,0,"dapelogo_2007"
"292",1,5,0,50,0,2,0,"dapelogo_2007"
"293",1,5,0,80,0,2,0,"dapelogo_2007"
"294",1,5,0,100,0,2,0,"dapelogo_2007"
"295",1,5,0.5,0,0,0,NA,"dapelogo_2007"
"296",1,5,0.5,5,0,0,NA,"dapelogo_2007"
"297",1,5,0.5,20,0,0,NA,"dapelogo_2007"
"298",1,5,0.5,50,0,0,NA,"dapelogo_2007"
"299",1,5,0.5,80,0,0,NA,"dapelogo_2007"
"300",1,5,0.5,100,0,0,NA,"dapelogo_2007"
"301",1,5,5,0,1,1,1,"dapelogo_2007"
"302",1,5,5,5,0,1,0,"dapelogo_2007"
"303",1,5,5,20,0,1,0,"dapelogo_2007"
"304",1,5,5,50,0,1,0,"dapelogo_2007"
"305",1,5,5,80,0,1,0,"dapelogo_2007"
"306",1,5,5,100,0,1,0,"dapelogo_2007"
"307",1,5,50,0,1,2,0.5,"dapelogo_2007"
"308",1,5,50,5,0,2,0,"dapelogo_2007"
"309",1,5,50,20,0,2,0,"dapelogo_2007"
"310",1,5,50,50,1,2,0.5,"dapelogo_2007"
"311",1,5,50,80,0,2,0,"dapelogo_2007"
"312",1,5,50,100,0,2,0,"dapelogo_2007"
"313",1,5,500,0,1,2,0.5,"dapelogo_2007"
"314",1,5,500,5,0,2,0,"dapelogo_2007"
"315",1,5,500,20,0,2,0,"dapelogo_2007"
"316",1,5,500,50,1,2,0.5,"dapelogo_2007"
"317",1,5,500,80,0,2,0,"dapelogo_2007"
"318",1,5,500,100,0,2,0,"dapelogo_2007"
"319",1,5,5000,0,0,2,0,"dapelogo_2007"
"320",1,5,5000,5,0,2,0,"dapelogo_2007"
"321",1,5,5000,20,0,2,0,"dapelogo_2007"
"322",1,5,5000,50,1,2,0.5,"dapelogo_2007"
"323",1,5,5000,80,0,2,0,"dapelogo_2007"
"324",1,5,5000,100,1,2,0.5,"dapelogo_2007"
"325",1,5,50000,0,0,1,0,"dapelogo_2007"
"326",1,5,50000,5,0,1,0,"dapelogo_2007"
"327",1,5,50000,20,1,1,1,"dapelogo_2007"
"328",1,5,50000,50,0,1,0,"dapelogo_2007"
"329",1,5,50000,80,0,1,0,"dapelogo_2007"
"330",1,5,50000,100,0,1,0,"dapelogo_2007"
"331",1,5,5e+05,0,0,0,NA,"dapelogo_2007"
"332",1,5,5e+05,5,0,0,NA,"dapelogo_2007"
"333",1,5,5e+05,20,0,0,NA,"dapelogo_2007"
"334",1,5,5e+05,50,0,0,NA,"dapelogo_2007"
"335",1,5,5e+05,80,0,0,NA,"dapelogo_2007"
"336",1,5,5e+05,100,0,0,NA,"dapelogo_2007"
"337",1,15,0,0,2,2,1,"dapelogo_2007"
"338",1,15,0,5,0,2,0,"dapelogo_2007"
"339",1,15,0,20,0,2,0,"dapelogo_2007"
"340",1,15,0,50,0,2,0,"dapelogo_2007"
"341",1,15,0,80,0,2,0,"dapelogo_2007"
