"agebin","Village","Seasons","densitybin","count_asex","bin_total_asex","asexual_par_dens_freq","count_gamet","bin_total_gamet","gametocyte_dens_freq","Site","year","month0","month"
50,"Rafin Marke","W2",50,26,101,0.257425742574257,3,101,0.0297029702970297,"Rafin_Marke_1970",2,"W",10
50,"Rafin Marke","W2",500,1,101,0.0099009900990099,NA,NA,NA,"Rafin_Marke_1970",2,"W",10
50,"Sugungum","DC2",0,176,276,0.63768115942029,261,276,0.945652173913043,"Sugungum_1970",2,"DC",2
50,"Sugungum","DC2",50,85,276,0.307971014492754,15,276,0.0543478260869565,"Sugungum_1970",2,"DC",2
50,"Sugungum","DC2",500,13,276,0.0471014492753623,NA,NA,NA,"Sugungum_1970",2,"DC",2
50,"Sugungum","DC2",5000,2,276,0.0072463768115942,NA,NA,NA,"Sugungum_1970",2,"DC",2
50,"Sugungum","DH2",0,114,144,0.791666666666667,143,144,0.993055555555556,"Sugungum_1970",2,"DH",7
50,"Sugungum","DH2",50,29,144,0.201388888888889,1,144,0.00694444444444444,"Sugungum_1970",2,"DH",7
50,"Sugungum","DH2",500,1,144,0.00694444444444444,NA,NA,NA,"Sugungum_1970",2,"DH",7
50,"Sugungum","W2",0,204,295,0.691525423728814,277,295,0.938983050847458,"Sugungum_1970",2,"W",10
50,"Sugungum","W2",50,77,295,0.261016949152542,18,295,0.0610169491525424,"Sugungum_1970",2,"W",10
50,"Sugungum","W2",500,12,295,0.0406779661016949,NA,NA,NA,"Sugungum_1970",2,"W",10
50,"Sugungum","W2",5000,1,295,0.00338983050847458,NA,NA,NA,"Sugungum_1970",2,"W",10
50,"Sugungum","W2",5e+06,1,295,0.00338983050847458,NA,NA,NA,"Sugungum_1970",2,"W",10
76,"Matsari","DC2",0,43,74,0.581081081081081,70,74,0.945945945945946,"Matsari_1970",2,"DC",2
76,"Matsari","DC2",50,24,74,0.324324324324324,4,74,0.0540540540540541,"Matsari_1970",2,"DC",2
76,"Matsari","DC2",500,7,74,0.0945945945945946,NA,NA,NA,"Matsari_1970",2,"DC",2
76,"Matsari","DH2",0,34,52,0.653846153846154,52,52,1,"Matsari_1970",2,"DH",7
76,"Matsari","DH2",50,17,52,0.326923076923077,NA,NA,NA,"Matsari_1970",2,"DH",7
76,"Matsari","DH2",500,1,52,0.0192307692307692,NA,NA,NA,"Matsari_1970",2,"DH",7
76,"Matsari","W2",0,31,42,0.738095238095238,38,42,0.904761904761905,"Matsari_1970",2,"W",10
76,"Matsari","W2",50,8,42,0.19047619047619,4,42,0.0952380952380952,"Matsari_1970",2,"W",10
76,"Matsari","W2",500,3,42,0.0714285714285714,NA,NA,NA,"Matsari_1970",2,"W",10
76,"Rafin Marke","DC2",0,28,34,0.823529411764706,33,34,0.970588235294118,"Rafin_Marke_1970",2,"DC",2
